Project,Client,Title,Duration
BUSINESS:WEBFLOW,,Bluetooth,01:59:50
BUSINESS:WEBFLOW,,Daily planning,01:40:54
BUSINESS:WEBFLOW,,Email,00:03:06
BUSINESS:WEBFLOW,,Johnny Blomstermanden Haugaard,14:11:30
BUSINESS:WEBFLOW,,Josue Prieto-Paz,63:30:47
BUSINESS:WEBFLOW,,Kevin Graham $60,38:06:32
BUSINESS:WEBFLOW,,Personlig side,05:22:59
BUSINESS:WEBFLOW,,RateMyToilet Redesign $300,05:45:18
BUSINESS:WEBFLOW,,Regnskab,03:18:04
BUSINESS:WEBFLOW,,Setting business goals,01:02:50
BUSINESS:WEBFLOW,,Skat,00:09:03
Projects for Personal Development,,Daily Art,10:25:27
Projects for Personal Development,,DGSB,61:50:24
Projects for Personal Development,,Drawing,00:43:40
Projects for Personal Development,,Drømmebogen,00:11:48
Projects for Personal Development,,Evaluering af applikationer,01:19:43
Projects for Personal Development,,Fedtfarver,06:28:44
Projects for Personal Development,,Gåtur,00:39:12
Projects for Personal Development,,Introspektion,01:20:23
Projects for Personal Development,,Model shoot,00:26:18
Projects for Personal Development,,Music,01:01:37
Projects for Personal Development,,Musik,08:50:48
Projects for Personal Development,,Productivity Masterclass,02:31:22
Projects for Personal Development,,Rydde op,02:44:09
Projects for Personal Development,,Skrive,00:10:41
Projects for Personal Development,,Spiludviklingsdebat,03:04:28
Projects for Personal Development,,Studie,03:31:21
Projects for Personal Development,,The JavaScript Book,01:14:37
Projects for Personal Development,,The Unity Project,01:33:05
Projects for Personal Development,,Writing,00:11:08
Reading,,12 Rules For Life,00:35:00
Reading,,29 Seconds,01:03:00
Reading,,Arkitekten 05,01:02:47
Reading,,Da Vinci-mysteriet,06:24:53
Reading,,Doughnut Economics,00:22:48
Reading,,Dougnut Economics,13:59:19
Reading,,Engle og Dæmoner,09:28:22
Reading,,Fri os fra kærligheden,06:18:03
Reading,,Ghita,00:15:09
Reading,,Just Kids,03:13:12
Reading,,King of Ashes,09:26:54
Reading,,Kære læser,01:38:46
Reading,,Kærlighed,00:29:14
Reading,,Life Reset 2,06:45:01
Reading,,Lord of the Flies,01:35:00
Reading,,Mistborn: The Final Empire,13:42:01
Reading,,Mistborn: Well of Ascension,09:01:36
Reading,,Sapiens,08:41:00
Reading,,The Hero of Ages: Mistborn III,15:03:36
Reading,,Thinking Fast and Slow,02:35:42
Reading,,Unscripted,04:50:17
Research studies,,Now you’re like me: biosocial synchrony pilot,01:25:23
Sarsebso,,Refleksion 190411,03:22:32
School projects,,Lektier,02:24:49
School projects,,Uddannelse,02:49:27
School projects,,Undervisning: Samfundsfag B,97:01:55
Spare Time Activities,,Adskille seng,02:11:34
Spare Time Activities,,Arbejde for far,02:20:00
Spare Time Activities,,Beach,01:35:00
Spare Time Activities,,Board game café,05:40:00
Spare Time Activities,,Boligsøg,00:20:07
Spare Time Activities,,Cykeltur,01:03:55
Spare Time Activities,,D3,01:12:29
Spare Time Activities,,DGSB Coverbillede,00:26:13
Spare Time Activities,,DGSB Møde Aarhus,03:04:43
Spare Time Activities,,Excercise,00:30:00
Spare Time Activities,,Ferie,02:16:28
Spare Time Activities,,Festplanlægning,01:55:31
Spare Time Activities,,Flybillet,00:20:58
Spare Time Activities,,Gave,00:23:38
Spare Time Activities,,Gåtur,03:59:23
Spare Time Activities,,Gøre rent,00:39:22
Spare Time Activities,,Havearbejde,05:51:51
Spare Time Activities,,Herning,03:42:49
Spare Time Activities,,Home workout,01:02:53
Spare Time Activities,,Købe ind,02:26:56
Spare Time Activities,,Lave mad,02:08:09
Spare Time Activities,,Lejlighed,10:19:26
Spare Time Activities,,Lejlighedsmøde,01:00:36
Spare Time Activities,,Living,00:28:07
Spare Time Activities,,Løb,00:17:08
Spare Time Activities,,Løbetur,04:19:09
Spare Time Activities,,Madopskrifter,00:03:20
Spare Time Activities,,Margrethe Vestager,01:20:02
Spare Time Activities,,Meditation,00:23:52
Spare Time Activities,,Music,02:00:02
Spare Time Activities,,Ny cykel,01:13:00
Spare Time Activities,,Rejseplan,13:02:00
Spare Time Activities,,Rejseplanen,03:48:11
Spare Time Activities,,Rejserelateret,28:50:53
Spare Time Activities,,Tennis,01:10:12
Spare Time Activities,,Tietgenkollegiet,02:48:19
Spare Time Activities,,Træning,05:40:12
Spare Time Activities,,Videbæk,00:52:35
Studying,,Cognition and Communication: Class 1,02:32:00
Studying,,Cognition and Communication: Lecture 1,05:03:57
Studying,,Experimental Methods 1: Lecture 1,00:26:57
Studying,,Experimental Methods 1: R,05:09:00
Studying,,Introduction to Cognitive Science: Lecture 1,00:32:06
Studying,,Misc.,00:38:15
Studying,,Study Group setup,04:00:11
