#timestamp, amount of minutes the scores were hidden, 0:15 score, 0:30 score, 0:45 score, 1:00 score, 1:15 score, 1:30 score, 1:45 score, 2:00 score
1530130824.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530130812.0, 0, 2, 2, 2, 2, 2, 2, 1, 1
1530130797.0, 0, 1, 2, 2, 3, 3, 3, 3, 3
1530130892.0, 0, 2, 2, 3, 3, 3, 3, 3, 3
1530130873.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530130852.0, 0, 1, 1, 1, 1, 0, 0, 0, 0
1530130851.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530130812.0, 0, 2, 2, 2, 2, 2, 2, 1, 1
1530130935.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530130913.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530130873.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530130851.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530130913.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530130851.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530131016.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530130851.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530130851.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530131188.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530131214.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530131214.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530131334.0, 0, -1, -4, -5, -8, -9, -11, -11, -15
1530131324.0, 0, 1, 2, 2, 1, 1, 1, 2, 2
1530131314.0, 0, 1, 1, 1, 2, 3, 3, 3, 4
1530131324.0, 0, 1, 2, 2, 1, 1, 1, 2, 2
1530131450.0, 0, 1, 1, 1, 2, 2, 2, 2, 3
1530131465.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530131457.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530131491.0, 0, 9, 13, 13, 13, 13, 13, 12, 13
1530131465.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530131661.0, 0, 1, 1, 1, 1, 1, 0, 0, 0
1530131702.0, 0, 2, 1, 1, 1, 1, 1, 1, 2
1530131687.0, 0, 0, 0, 0, 1, 1, 1, 2, 2
1530131676.0, 0, 1, 1, 0, 0, 0, 1, 1, 1
1530131702.0, 0, 2, 1, 1, 1, 1, 1, 1, 2
1530131676.0, 0, 1, 1, 0, 0, 0, 1, 1, 1
1530131676.0, 0, 1, 1, 0, 0, 0, 1, 1, 1
1530169479.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530169512.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530169495.0, 0, 5, 7, 9, 9, 12, 15, 14, 18
1530169576.0, 0, 4, 6, 6, 6, 7, 8, 9, 8
1530169567.0, 0, 1, 1, 1, 2, 2, 2, 2, 2
1530169554.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530169534.0, 0, 2, 3, 3, 3, 2, 1, 1, 1
1530169602.0, 0, -2, 1, -2, 0, 1, 1, 2, 2
1530169669.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530169659.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171008.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530171006.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171001.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171158.0, 0, 1, 1, 0, 0, 0, 0, 0, 0
1530171240.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530171288.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530171267.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171264.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530171331.0, 0, 0, 1, 2, 2, 2, 3, 3, 3
1530171312.0, 0, 2, -1, 4, 5, 7, 7, 10, 11
1530171389.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530171446.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530171444.0, 0, 6, 9, 12, 12, 14, 13, 14, 12
1530171652.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171716.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171677.0, 0, 5, 5, 8, 9, 9, 9, 10, 10
1530171821.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171899.0, 0, 1, 2, 2, 2, 3, 3, 3, 3
1530171885.0, 0, 3, 3, 5, 6, 6, 5, 4, 7
1530171882.0, 0, 2, 4, 7, 8, 10, 10, 8, 11
1530171879.0, 0, 3, 4, 4, 4, 4, 4, 4, 4
1530171913.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530171907.0, 0, 2, 2, 1, 2, 2, 4, 5, 5
1530171929.0, 0, 3, 2, 1, 1, 1, 2, 1, 2
1530172010.0, 0, 2, 2, 2, 2, 4, 5, 6, 5
1530172001.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530172038.0, 0, 2, 1, 1, -1, 1, 1, 0, -1
1530172026.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172096.0, 0, 2, 3, 3, 3, 4, 5, 6, 5
1530172090.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172126.0, 0, 1, 2, 4, 4, 3, 2, 2, 2
1530172114.0, 0, 1, 1, 1, 1, 1, 2, 2, 3
1530172107.0, 0, 1, 1, 1, 1, 2, 3, 3, 3
1530172135.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172129.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172190.0, 0, 1, 3, 5, 6, 6, 7, 11, 13
1530172242.0, 0, 1, 1, 1, 1, 1, 1, 2, 3
1530172257.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172255.0, 0, 2, 2, 2, 2, 3, 3, 3, 3
1530172389.0, 0, 2, 2, 2, 1, 1, 0, 0, 1
1530172437.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172469.0, 0, 1, 2, 3, 3, 3, 4, 3, 3
1530172497.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172518.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172570.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172618.0, 0, 1, 1, 1, 1, 2, 2, 3, 3
1530172667.0, 0, 2, 2, 2, 1, 1, 1, 1, 1
1530172653.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172717.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530172736.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172820.0, 0, 2, 2, 2, 2, 4, 5, 3, 5
1530172800.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530172849.0, 0, 2, 2, 2, 4, 4, 5, 5, 5
1530172848.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172832.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530172853.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530172917.0, 0, 1, 2, 6, 8, 9, 8, 9, 10
1530172923.0, 0, 1, 2, 1, 1, 2, 3, 4, 4
1530173064.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173051.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173042.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173079.0, 0, 2, 2, 2, 2, 2, 2, 3, 3
1530173101.0, 0, 1, 4, 5, 5, 5, 5, 7, 9
1530173120.0, 0, 1, 1, 1, 2, 2, 2, 3, 5
1530173116.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530173149.0, 0, 2, 3, 3, 3, 3, 3, 3, 3
1530173185.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173199.0, 0, 1, -1, 1, 4, 7, 9, 7, 7
1530173251.0, 0, 0, 0, 0, 0, -1, 0, 0, -1
1530173274.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173265.0, 0, 3, 4, 6, 8, 9, 10, 13, 14
1530173279.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530173324.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173304.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530173366.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1530173366.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530173330.0, 0, 1, 1, 1, 1, 3, 2, 3, 3
1530173393.0, 0, 2, 3, 5, 7, 6, 7, 8, 9
1530173383.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530173377.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173412.0, 0, 3, 6, 7, 9, 11, 11, 12, 15
1530173445.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173517.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173494.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530173551.0, 0, 2, 1, -2, -2, -4, -4, -4, -2
1530173579.0, 0, 0, -1, 0, 1, 1, 1, 1, 1
1530173615.0, 0, 2, 2, 3, 5, 6, 8, 8, 9
1530173660.0, 0, 0, 1, 1, 1, 2, 2, 2, 2
1530173657.0, 0, 2, 2, 3, 3, 4, 5, 6, 6
1530173690.0, 0, 2, 4, 5, 5, 5, 5, 7, 7
1530173679.0, 0, 0, -4, -6, -6, -8, -7, -7, -8
1530173678.0, 0, 3, 5, 7, 7, 8, 8, 10, 12
1530173711.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173714.0, 0, -2, 1, 2, 1, 1, 2, 1, 1
1530173771.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173767.0, 0, 0, -3, -4, -5, -4, -2, -3, -3
1530173733.0, 0, 1, 0, 2, 4, 7, 8, 10, 10
1530173778.0, 0, 1, 1, 1, 0, 0, 1, 1, 1
1530173842.0, 0, 1, 1, 1, 3, 4, 3, 6, 6
1530173840.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173824.0, 0, 1, 1, 1, 1, 1, 0, -1, -1
1530173817.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173854.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530173852.0, 0, 2, 4, 5, 9, 9, 11, 12, 11
1530173877.0, 0, -2, -5, -5, -6, -5, -5, -4, -4
1530173871.0, 0, 2, 3, 5, 6, 7, 8, 7, 7
1530173869.0, 0, 1, 1, 0, -1, 0, -1, 0, 0
1530173894.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174030.0, 0, 6, 11, 12, 18, 20, 21, 21, 21
1530174013.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174067.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174039.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174031.0, 0, 3, 5, 4, 4, 4, 4, 7, 7
1530174083.0, 0, 1, 2, 3, 4, 5, 6, 6, 5
1530174076.0, 0, 3, 5, 5, 5, 4, 5, 5, 3
1530174076.0, 0, 1, 1, 1, 1, 1, 3, 3, 3
1530174092.0, 0, 3, 4, 4, 5, 5, 4, 6, 6
1530174133.0, 0, 2, 2, 3, 5, 5, 3, 7, 5
1530174131.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174130.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174216.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174198.0, 0, 0, -3, -4, -3, -3, 0, -1, -1
1530174278.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530174273.0, 0, 1, 1, 1, 2, 2, 3, 3, 3
1530174237.0, 0, 1, 1, 1, 3, 3, 3, 4, 4
1530174231.0, 0, 2, 2, 3, 4, 4, 5, 4, 5
1530174285.0, 0, 1, 1, 1, 1, 1, 2, 2, 4
1530174282.0, 0, 1, 1, 2, 2, 2, 2, 2, 2
1530174300.0, 0, 1, 1, 0, 0, 1, 1, 1, 0
1530174371.0, 0, 1, 2, 2, 2, 3, 3, 3, 3
1530174369.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530174401.0, 0, 1, 1, 3, 3, 4, 6, 7, 7
1530174392.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174438.0, 0, 4, 5, 8, 9, 9, 8, 9, 9
1530174426.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530174413.0, 0, 3, 5, 6, 7, 8, 8, 9, 8
1530174450.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174472.0, 0, 1, 0, 0, -1, -1, 0, 0, 0
1530174472.0, 0, 3, 9, 11, 13, 16, 18, 22, 21
1530174471.0, 0, 1, 2, 7, 8, 9, 12, 12, 12
1530174463.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174457.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174502.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174552.0, 0, 2, 1, 0, 0, -2, -3, 0, -2
1530174542.0, 0, 1, 1, 1, 3, 3, 3, 3, 2
1530174528.0, 0, 3, 4, 4, 6, 6, 6, 6, 5
1530174527.0, 0, 1, 0, 0, 0, -1, -3, -4, -4
1530174561.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530174668.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174664.0, 0, 1, 1, 1, 0, 0, 1, 1, 1
1530174660.0, 0, 1, 3, 4, 5, 5, 7, 7, 8
1530174641.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174677.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174741.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174737.0, 0, 1, 1, 4, 4, 7, 7, 7, 6
1530174771.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174813.0, 0, 1, 0, -1, -1, -2, -3, -1, -1
1530174812.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174836.0, 0, 2, 2, 2, 2, 2, 2, 2, 2
1530174890.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174861.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530174913.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530174909.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530174902.0, 0, 1, 2, 2, 3, 3, 3, 3, 3
1530174960.0, 0, 1, 1, 1, 0, 0, 0, 0, 0
1530174959.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175013.0, 0, 8, 14, 16, 21, 25, 25, 39, 53
1530174997.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175039.0, 0, 4, 4, 4, 5, 5, 5, 7, 6
1530175032.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175132.0, 0, 1, 1, 1, 1, 1, 2, 2, 2
1530175127.0, 0, 1, 1, 1, 1, 2, 2, 2, 2
1530175121.0, 0, 1, 2, 2, 1, 1, 1, 2, 2
1530175105.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1530175143.0, 0, 2, 2, 2, 3, 3, 3, 3, 3
1530175160.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175356.0, 0, 2, 3, 5, 5, 5, 6, 7, 12
1530175389.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175437.0, 0, 1, 1, 1, 1, 1, 1, 2, 2
1530175423.0, 0, 1, 2, 2, 2, 2, 2, 2, 2
1530175418.0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1530175447.0, 0, 0, 0, 0, -1, 0, 0, 0, 0
1530175442.0, 0, 2, 3, 3, 3, 3, 3, 3, 3
1530175479.0, 0, 2, 6, 8, 13, 15, 16, 19, 24
1530175470.0, 0, 4, 4, 5, 10, 14, 16, 20, 20
1530175469.0, 0, 5, 11, 15, 19, 24, 24, 28, 31
1530175504.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
1530175504.0, 0, 1, 1, 1, 1, 1, 1, 1, 2
1530175503.0, 0, 1, 1, 0, -1, -1, -1, -1, -2
1530175494.0, 0, 2, 3, 3, 5, 4, 7, 9, 9
1530175554.0, 0, 1, 1, 1, 1, 1, 1, 1, 1
